DQN Training Log
Episode 123, Reward: -24.00, Loss: 0.0836, Epsilon: 0.540
Episode 124, Reward: -114.00, Loss: 0.0134, Epsilon: 0.537
Episode 125, Reward: -58.00, Loss: 0.0035, Epsilon: 0.534
Episode 126, Reward: -49.00, Loss: 0.0013, Epsilon: 0.532
Episode 127, Reward: -36.00, Loss: 0.0005, Epsilon: 0.529
Episode 128, Reward: -19.00, Loss: 0.0004, Epsilon: 0.526
Episode 129, Reward: -51.00, Loss: 0.0002, Epsilon: 0.524
Episode 130, Reward: -119.00, Loss: 0.0001, Epsilon: 0.521
Episode 131, Reward: -86.00, Loss: 0.0000, Epsilon: 0.519
Episode 132, Reward: -30.00, Loss: 0.2917, Epsilon: 0.516
Episode 133, Reward: -34.00, Loss: 0.0518, Epsilon: 0.513
Episode 134, Reward: -28.00, Loss: 0.0240, Epsilon: 0.511
Episode 135, Reward: -29.00, Loss: 0.0117, Epsilon: 0.508
Episode 136, Reward: -42.00, Loss: 0.0044, Epsilon: 0.506
Episode 137, Reward: -62.00, Loss: 0.0023, Epsilon: 0.503
Episode 138, Reward: -28.00, Loss: 0.0011, Epsilon: 0.501
Episode 139, Reward: -33.00, Loss: 0.0008, Epsilon: 0.498
Episode 140, Reward: -63.00, Loss: 0.0004, Epsilon: 0.496
Episode 141, Reward: -29.00, Loss: 0.0002, Epsilon: 0.493
Episode 142, Reward: -77.00, Loss: 0.1059, Epsilon: 0.491
Episode 143, Reward: -15.00, Loss: 0.0080, Epsilon: 0.488
Episode 144, Reward: -22.00, Loss: 0.0035, Epsilon: 0.486
Episode 145, Reward: -16.00, Loss: 0.0015, Epsilon: 0.483
Episode 146, Reward: -37.00, Loss: 0.0009, Epsilon: 0.481
Episode 147, Reward: -64.00, Loss: 0.0005, Epsilon: 0.479
Episode 148, Reward: -39.00, Loss: 0.0002, Epsilon: 0.476
Episode 149, Reward: -54.00, Loss: 0.0001, Epsilon: 0.474
Episode 150, Reward: -20.00, Loss: 0.0001, Epsilon: 0.471
Episode 151, Reward: -52.00, Loss: 0.0001, Epsilon: 0.469
Episode 152, Reward: -19.00, Loss: 0.0001, Epsilon: 0.467
Episode 153, Reward: -21.00, Loss: 0.0000, Epsilon: 0.464
Episode 154, Reward: -31.00, Loss: 0.0000, Epsilon: 0.462
Episode 155, Reward: -9.00, Loss: 0.0000, Epsilon: 0.460
Episode 156, Reward: -47.00, Loss: 0.0000, Epsilon: 0.458
Episode 157, Reward: -53.00, Loss: 0.0000, Epsilon: 0.455
Episode 158, Reward: -31.00, Loss: 0.0000, Epsilon: 0.453
Episode 159, Reward: -40.00, Loss: 0.0000, Epsilon: 0.451
Episode 160, Reward: -20.00, Loss: 0.0000, Epsilon: 0.448
